"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Chile","January",-0.34,-0.301,-0.359,0.431,0.245,0.096,-0.245,0.228,0.325,0.239,-1.309,0.285,0.138,-0.444,0.477,-0.711,0.311,-0.125,0.576,0.782,-0.1,0.682,1.586,0.314,0.475,-0.091,0.369,-0.153,0.224,0.18,0.018,0.734,0.071,0.578,-0.159,-0.528,0.42,0.561,-0.034,-0.039,0.001,0.251,-0.011,0.684,-0.016,0.545,0.498,0.932,0.583,-0.123,0.133,1.131,1.332,0.224,0.541,1.07,1.303,0.486,-0.124
"2","Chile","February",-0.169,0.169,0.97,-0.621,0.002,-1.22,-0.069,-0.051,-0.264,0.378,-1.024,-0.017,0.177,-0.358,-0.189,0.033,0.182,0.586,0.272,0.417,0.346,-0.144,0.62,-0.459,0.32,-0.107,0.766,0.637,1.152,0.653,0.16,-0.393,0.422,-0.467,-0.199,-0.621,-0.821,0.787,0.607,-0.497,0.34,0.468,-0.099,0.757,1.201,0.943,-0.168,1.247,0.498,-0.503,0.629,0.288,0.831,-0.072,0.635,1.042,1.674,1.212,0.899
"3","Chile","March",-0.583,0.487,-0.532,-0.53,0.678,-0.031,0.11,-0.317,0.092,0.064,-0.479,-0.853,0.4,-0.054,0.056,-1.387,0.526,0.094,0.295,1.061,0.35,-0.022,0.849,0.188,-0.039,-0.453,0.895,0.558,-0.006,-0.086,0.199,1.024,0.582,0.431,-0.236,0.245,0.719,0.654,-0.07,-0.479,-0.234,-0.338,0.218,0.973,0.227,0.075,0.533,0.82,1.029,0.829,0.134,1.115,-0.055,-0.41,1.592,1.347,0.74,0.016,0.312
"4","Chile","April",-0.451,-0.016,-0.011,0.006,-0.188,0.541,0.92,0.181,0.423,0.903,-0.765,0.096,-0.367,0.199,0.024,-0.575,0.836,0.384,0.524,-0.473,1.059,0.628,1.039,-0.251,-0.301,-0.363,0.737,0.282,0.223,-0.336,0.452,0.309,0.145,0.182,0.616,-0.375,1.102,0.913,-0.131,0.278,-0.148,-0.032,-0.388,0.736,-0.293,0.243,-0.04,0.305,1.43,0.171,0.126,0.469,0.859,0.061,1.51,-0.072,0.841,0.515,0.869
"5","Chile","May",-0.139,0.336,0.197,-0.091,-0.838,0.629,0.547,0.636,0.353,-0.07,-0.646,-0.114,-0.263,0.196,-0.047,0.112,0.466,0.484,0.269,0.526,0.83,1.131,0.582,-1.325,0.007,0.223,-0.173,-0.329,-0.278,0.055,0.478,-0.156,-0.478,0.184,0.619,0.694,1.162,1.235,0.192,-0.205,-0.313,-0.091,0.438,-0.235,-0.532,0.223,-1.248,-0.594,0.657,0.04,0.118,0.486,0.53,0.515,1.133,0.669,0.616,0.569,0.39
"6","Chile","June",-1.184,0.085,0.174,-1.467,1.791,0.326,-0.919,0.706,0.381,-0.061,-0.828,0.443,0.408,-0.082,0.673,-0.291,0.475,0.004,0.24,0.307,0.385,-0.383,-0.306,-1.43,1.208,0.1,0.995,0.14,0.683,0.264,0.218,-0.477,-0.164,0.903,0.098,-0.756,1.517,1.206,-0.358,0.055,0.182,-1.411,0.745,0.884,-0.145,0.747,-0.629,-0.017,0.502,0.202,0.577,0.479,0.829,0.376,1.242,0.669,0.226,-0.498,0.622
"7","Chile","July",-0.642,-0.079,0.644,-0.2,-0.262,-0.46,-0.452,1.069,0.376,0.134,0.353,-0.275,-1.004,0.025,-0.339,-0.206,-0.152,1.2,0.719,0.168,0.541,0.117,0.254,-0.549,0.51,0.505,0.818,-0.75,0.424,0.28,-0.107,-1.326,-0.167,-0.28,-1.323,0.633,1.126,1.367,0.03,-0.633,-0.347,0.394,0.635,0.265,0.372,1.172,-0.792,0.605,0.001,-1.057,-0.251,-0.182,0.203,0.347,0.904,0.845,1.033,-0.448,0.71
"8","Chile","August",0.679,0.356,0.152,-0.506,0.337,-0.368,-0.398,0.896,0.382,-0.319,0.099,-0.203,0.035,-0.12,-0.772,-0.193,0.009,-0.43,0.799,0.746,0.707,0.666,0.513,-0.387,0.214,0.272,0.246,-0.212,0.375,0.699,-0.508,0.045,0.651,0.179,-1.095,0.659,1.388,0.411,0.484,0.074,0.632,0.464,0.463,0.596,0.25,0.431,-1.322,-0.268,0.76,-0.604,-0.506,0.507,-0.354,1.316,1.086,1.296,0.762,0.57,0.471
"9","Chile","September",-0.51,0.437,-0.698,-0.203,-0.333,-0.364,-0.501,0.57,0.552,0.56,0.532,0.205,-0.273,-0.426,-0.084,-0.073,0.48,0.714,-0.303,0.407,-0.241,1.206,-0.217,0.855,0.379,-0.091,0.179,0.086,-0.043,0.189,0.527,-0.143,0.297,0.361,-0.127,0.797,0.721,-0.555,0.505,-0.786,0.072,0.243,0.251,0.672,-0.032,0.565,0.006,0.576,-0.163,0.055,0.546,0.952,-0.141,0.728,0.534,1.27,0.37,0.728,0.131
"10","Chile","October",0.126,0.691,-0.004,0.516,-0.131,-0.327,0.145,-0.231,-0.446,0.011,0.255,-0.5,-0.152,0.138,-0.045,0.075,0.479,0.053,-0.279,0.239,0.416,0.494,0.545,0.58,0.275,0.958,0.954,-0.114,0.639,0.352,-0.302,-0.185,0.59,0.189,0.163,0.247,0.12,0.638,0.622,0.023,0.609,-0.047,0.667,0.45,-0.232,0.69,-0.103,0.492,-0.223,0.324,0.183,0.088,0.538,1.045,-0.366,0.888,-0.1,0.095,0.125
