continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,28.801,8425333,779.4453145,TRUE,Menor al promedio
Asia,1957,30.332,9240934,820.8530296,TRUE,Menor al promedio
Asia,1962,31.997,10267083,853.10071,TRUE,Menor al promedio
Asia,1967,34.02,11537966,836.1971382,TRUE,Menor al promedio
Asia,1972,36.088,13079460,739.9811058,TRUE,Menor al promedio
Asia,1977,38.438,14880372,786.11336,TRUE,Menor al promedio
Asia,1982,39.854,12881816,978.0114388,TRUE,Menor al promedio
Asia,1987,40.822,13867957,852.3959448,TRUE,Menor al promedio
Asia,1992,41.674,16317921,649.3413952,TRUE,Menor al promedio
Asia,1997,41.763,22227415,635.341351,TRUE,Menor al promedio
Asia,2002,42.129,25268405,726.7340548,TRUE,Menor al promedio
Asia,2007,43.828,31889923,974.5803384,TRUE,Menor al promedio
