continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Europa,1952,67.5,69145952,7144.114393,FALSE,Mayor al promedio
Europa,1957,69.1,71019069,10187.82665,FALSE,Mayor al promedio
Europa,1962,70.3,73739117,12902.46291,FALSE,Mayor al promedio
Europa,1967,70.8,76368453,14745.62561,FALSE,Mayor al promedio
Europa,1972,71,78717088,18016.18027,FALSE,Mayor al promedio
Europa,1977,72.5,78160773,20512.92123,FALSE,Mayor al promedio
Europa,1982,73.8,78335266,22031.53274,FALSE,Mayor al promedio
Europa,1987,74.847,77718298,24639.18566,FALSE,Mayor al promedio
Europa,1992,76.07,80597764,26505.30317,FALSE,Mayor al promedio
Europa,1997,77.34,82011073,27788.88416,FALSE,Mayor al promedio
Europa,2002,78.67,82350671,30035.80198,FALSE,Mayor al promedio
Europa,2007,79.406,82400996,32170.37442,FALSE,Mayor al promedio
