continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,30.015,4232095,3520.610273,TRUE,Menor al promedio
África,1957,31.999,4561361,3827.940465,TRUE,Menor al promedio
África,1962,34,4826015,4269.276742,TRUE,Menor al promedio
África,1967,35.985,5247469,5522.776375,TRUE,Menor al promedio
África,1972,37.928,5894858,5473.288005,TRUE,Menor al promedio
África,1977,39.483,6162675,3008.647355,TRUE,Menor al promedio
África,1982,39.942,7016384,2756.953672,TRUE,Menor al promedio
África,1987,39.906,7874230,2430.208311,TRUE,Menor al promedio
África,1992,40.647,8735988,2627.845685,TRUE,Menor al promedio
África,1997,40.963,9875024,2277.140884,TRUE,Menor al promedio
África,2002,41.003,10866106,2773.287312,TRUE,Menor al promedio
África,2007,42.731,12420476,4797.231267,TRUE,Menor al promedio
