continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Américas,1952,62.485,17876956,5911.315053,FALSE,Mayor al promedio
Américas,1957,64.399,19610538,6856.856212,FALSE,Mayor al promedio
Américas,1962,65.142,21283783,7133.166023,FALSE,Mayor al promedio
Américas,1967,65.634,22934225,8052.953021,FALSE,Mayor al promedio
Américas,1972,67.065,24779799,9443.038526,FALSE,Mayor al promedio
Américas,1977,68.481,26983828,10079.02674,FALSE,Mayor al promedio
Américas,1982,69.942,29341374,8997.897412,FALSE,Mayor al promedio
Américas,1987,70.774,31620918,9139.671389,FALSE,Mayor al promedio
Américas,1992,71.868,33958947,9308.41871,FALSE,Mayor al promedio
Américas,1997,73.275,36203463,10967.28195,FALSE,Mayor al promedio
Américas,2002,74.34,38331121,8797.640716,FALSE,Mayor al promedio
Américas,2007,75.32,40301927,12779.37964,FALSE,Mayor al promedio
