continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Oceanía,1952,69.12,8691212,10039.59564,FALSE,Mayor al promedio
Oceanía,1957,70.33,9712569,10949.64959,FALSE,Mayor al promedio
Oceanía,1962,70.93,10794968,12217.22686,FALSE,Mayor al promedio
Oceanía,1967,71.1,11872264,14526.12465,FALSE,Mayor al promedio
Oceanía,1972,71.93,13177000,16788.62948,FALSE,Mayor al promedio
Oceanía,1977,73.49,14074100,18334.19751,FALSE,Mayor al promedio
Oceanía,1982,74.74,15184200,19477.00928,FALSE,Mayor al promedio
Oceanía,1987,76.32,16257249,21888.88903,FALSE,Mayor al promedio
Oceanía,1992,77.56,17481977,23424.76683,FALSE,Mayor al promedio
Oceanía,1997,78.83,18565243,26997.93657,FALSE,Mayor al promedio
Oceanía,2002,80.37,19546792,30687.75473,FALSE,Mayor al promedio
Oceanía,2007,81.235,20434176,34435.36744,FALSE,Mayor al promedio
