continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,38.223,1738315,1062.7522,TRUE,Menor al promedio
África,1957,40.358,1925173,959.6010805,TRUE,Menor al promedio
África,1962,42.618,2151895,949.4990641,TRUE,Menor al promedio
África,1967,44.885,2427334,1035.831411,TRUE,Menor al promedio
África,1972,47.014,2761407,1085.796879,TRUE,Menor al promedio
África,1977,49.19,3168267,1029.161251,TRUE,Menor al promedio
África,1982,50.904,3641603,1277.897616,TRUE,Menor al promedio
África,1987,52.337,4243788,1225.85601,TRUE,Menor al promedio
África,1992,53.919,4981671,1191.207681,TRUE,Menor al promedio
África,1997,54.777,6066080,1232.975292,TRUE,Menor al promedio
África,2002,54.406,7026113,1372.877931,TRUE,Menor al promedio
África,2007,56.728,8078314,1441.284873,TRUE,Menor al promedio
