continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Europa,1952,59.6,7274900,2444.286648,FALSE,Mayor al promedio
Europa,1957,66.61,7651254,3008.670727,FALSE,Mayor al promedio
Europa,1962,69.51,8012946,4254.337839,FALSE,Mayor al promedio
Europa,1967,70.42,8310226,5577.0028,FALSE,Mayor al promedio
Europa,1972,70.9,8576200,6597.494398,FALSE,Mayor al promedio
Europa,1977,70.81,8797022,7612.240438,FALSE,Mayor al promedio
Europa,1982,71.08,8892098,8224.191647,FALSE,Mayor al promedio
Europa,1987,71.34,8971958,8239.854824,FALSE,Mayor al promedio
Europa,1992,71.19,8658506,6302.623438,FALSE,Mayor al promedio
Europa,1997,70.32,8066057,5970.38876,FALSE,Mayor al promedio
Europa,2002,72.14,7661799,7696.777725,FALSE,Mayor al promedio
Europa,2007,73.005,7322858,10680.79282,FALSE,Mayor al promedio
