continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,38.523,5009067,1172.667655,TRUE,Menor al promedio
África,1957,40.428,5359923,1313.048099,TRUE,Menor al promedio
África,1962,42.643,5793633,1399.607441,TRUE,Menor al promedio
África,1967,44.799,6335506,1508.453148,TRUE,Menor al promedio
África,1972,47.049,7021028,1684.146528,TRUE,Menor al promedio
África,1977,49.355,7959865,1783.432873,TRUE,Menor al promedio
África,1982,52.961,9250831,2367.983282,TRUE,Menor al promedio
África,1987,54.985,10780667,2602.664206,TRUE,Menor al promedio
África,1992,54.314,12467171,1793.163278,TRUE,Menor al promedio
África,1997,52.199,14195809,1694.337469,TRUE,Menor al promedio
África,2002,49.856,15929988,1934.011449,TRUE,Menor al promedio
África,2007,50.43,17696293,2042.09524,TRUE,Menor al promedio
