continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Américas,1952,68.75,14785584,11367.16112,FALSE,Mayor al promedio
Américas,1957,69.96,17010154,12489.95006,FALSE,Mayor al promedio
Américas,1962,71.3,18985849,13462.48555,FALSE,Mayor al promedio
Américas,1967,72.13,20819767,16076.58803,FALSE,Mayor al promedio
Américas,1972,72.88,22284500,18970.57086,FALSE,Mayor al promedio
Américas,1977,74.21,23796400,22090.88306,FALSE,Mayor al promedio
Américas,1982,75.76,25201900,22898.79214,FALSE,Mayor al promedio
Américas,1987,76.86,26549700,26626.51503,FALSE,Mayor al promedio
Américas,1992,77.95,28523502,26342.88426,FALSE,Mayor al promedio
Américas,1997,78.61,30305843,28954.92589,FALSE,Mayor al promedio
Américas,2002,79.77,31902268,33328.96507,FALSE,Mayor al promedio
Américas,2007,80.653,33390141,36319.23501,FALSE,Mayor al promedio
