continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,38.092,2682462,1178.665927,TRUE,Menor al promedio
África,1957,39.881,2894855,1308.495577,TRUE,Menor al promedio
África,1962,41.716,3150417,1389.817618,TRUE,Menor al promedio
África,1967,43.601,3495967,1196.810565,TRUE,Menor al promedio
África,1972,45.569,3899068,1104.103987,TRUE,Menor al promedio
África,1977,47.383,4388260,1133.98495,TRUE,Menor al promedio
África,1982,49.517,4875118,797.9081006,TRUE,Menor al promedio
África,1987,51.051,5498955,952.386129,TRUE,Menor al promedio
África,1992,51.724,6429417,1058.0643,TRUE,Menor al promedio
África,1997,51.573,7562011,1004.961353,TRUE,Menor al promedio
África,2002,50.525,8835739,1156.18186,TRUE,Menor al promedio
África,2007,50.651,10238807,1704.063724,TRUE,Menor al promedio
