continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,50.056,8865488,1088.277758,TRUE,Menor al promedio
Asia,1957,54.081,9411381,1571.134655,TRUE,Menor al promedio
Asia,1962,56.656,10917494,1621.693598,TRUE,Menor al promedio
Asia,1967,59.942,12617009,2143.540609,FALSE,Mayor al promedio
Asia,1972,63.983,14781241,3701.621503,FALSE,Mayor al promedio
Asia,1977,67.159,16325320,4106.301249,FALSE,Mayor al promedio
Asia,1982,69.1,17647518,4106.525293,FALSE,Mayor al promedio
Asia,1987,70.647,19067554,4106.492315,FALSE,Mayor al promedio
Asia,1992,69.978,20711375,3726.063507,FALSE,Mayor al promedio
Asia,1997,67.727,21585105,1690.756814,FALSE,Mayor al promedio
Asia,2002,66.662,22215365,1646.758151,FALSE,Mayor al promedio
Asia,2007,67.297,23301725,1593.06548,FALSE,Mayor al promedio
