continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,47.453,20947571,1030.592226,TRUE,Menor al promedio
Asia,1957,52.681,22611552,1487.593537,TRUE,Menor al promedio
Asia,1962,55.292,26420307,1536.344387,TRUE,Menor al promedio
Asia,1967,57.716,30131000,2029.228142,TRUE,Menor al promedio
Asia,1972,62.612,33505000,3030.87665,FALSE,Mayor al promedio
Asia,1977,64.766,36436000,4657.22102,FALSE,Mayor al promedio
Asia,1982,67.123,39326000,5622.942464,FALSE,Mayor al promedio
Asia,1987,69.81,41622000,8533.088805,FALSE,Mayor al promedio
Asia,1992,72.244,43805450,12104.27872,FALSE,Mayor al promedio
Asia,1997,74.647,46173816,15993.52796,FALSE,Mayor al promedio
Asia,2002,77.045,47969150,19233.98818,FALSE,Mayor al promedio
Asia,2007,78.623,49044790,23348.13973,FALSE,Mayor al promedio
