continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,40.477,2977019,1388.594732,TRUE,Menor al promedio
África,1957,42.469,3300000,1500.895925,TRUE,Menor al promedio
África,1962,44.93,3832408,1728.869428,TRUE,Menor al promedio
África,1967,47.35,4744870,2052.050473,TRUE,Menor al promedio
África,1972,49.801,6071696,2378.201111,TRUE,Menor al promedio
África,1977,52.374,7459574,2517.736547,TRUE,Menor al promedio
África,1982,53.983,9025951,2602.710169,TRUE,Menor al promedio
África,1987,54.655,10761098,2156.956069,TRUE,Menor al promedio
África,1992,52.044,12772596,1648.073791,TRUE,Menor al promedio
África,1997,47.991,14625967,1786.265407,TRUE,Menor al promedio
África,2002,46.832,16252726,1648.800823,TRUE,Menor al promedio
África,2007,48.328,18013409,1544.750112,TRUE,Menor al promedio
