continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,41.893,22223309,1418.822445,TRUE,Menor al promedio
África,1957,44.444,25009741,1458.915272,TRUE,Menor al promedio
África,1962,46.992,28173309,1693.335853,TRUE,Menor al promedio
África,1967,49.293,31681188,1814.880728,TRUE,Menor al promedio
África,1972,51.137,34807417,2024.008147,TRUE,Menor al promedio
África,1977,53.319,38783863,2785.493582,TRUE,Menor al promedio
África,1982,56.006,45681811,3503.729636,TRUE,Menor al promedio
África,1987,59.797,52799062,3885.46071,FALSE,Mayor al promedio
África,1992,63.674,59402198,3794.755195,FALSE,Mayor al promedio
África,1997,67.217,66134291,4173.181797,FALSE,Mayor al promedio
África,2002,69.806,73312559,4754.604414,FALSE,Mayor al promedio
África,2007,71.338,80264543,5581.180998,FALSE,Mayor al promedio
