continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Américas,1952,68.44,157553000,13990.48208,FALSE,Mayor al promedio
Américas,1957,69.49,171984000,14847.12712,FALSE,Mayor al promedio
Américas,1962,70.21,186538000,16173.14586,FALSE,Mayor al promedio
Américas,1967,70.76,198712000,19530.36557,FALSE,Mayor al promedio
Américas,1972,71.34,209896000,21806.03594,FALSE,Mayor al promedio
Américas,1977,73.38,220239000,24072.63213,FALSE,Mayor al promedio
Américas,1982,74.65,232187835,25009.55914,FALSE,Mayor al promedio
Américas,1987,75.02,242803533,29884.35041,FALSE,Mayor al promedio
Américas,1992,76.09,256894189,32003.93224,FALSE,Mayor al promedio
Américas,1997,76.81,272911760,35767.43303,FALSE,Mayor al promedio
Américas,2002,77.31,287675526,39097.09955,FALSE,Mayor al promedio
Américas,2007,78.242,301139947,42951.65309,FALSE,Mayor al promedio
