continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,34.078,20860941,362.1462796,TRUE,Menor al promedio
África,1957,36.667,22815614,378.9041632,TRUE,Menor al promedio
África,1962,40.059,25145372,419.4564161,TRUE,Menor al promedio
África,1967,42.115,27860297,516.1186438,TRUE,Menor al promedio
África,1972,43.515,30770372,566.2439442,TRUE,Menor al promedio
África,1977,44.51,34617799,556.8083834,TRUE,Menor al promedio
África,1982,44.916,38111756,577.8607471,TRUE,Menor al promedio
África,1987,46.684,42999530,573.7413142,TRUE,Menor al promedio
África,1992,48.091,52088559,421.3534653,TRUE,Menor al promedio
África,1997,49.402,59861301,515.8894013,TRUE,Menor al promedio
África,2002,50.725,67946797,530.0535319,TRUE,Menor al promedio
África,2007,52.947,76511887,690.8055759,TRUE,Menor al promedio
