continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Europa,1952,66.55,4090500,6424.519071,FALSE,Mayor al promedio
Europa,1957,67.49,4324000,7545.415386,FALSE,Mayor al promedio
Europa,1962,68.75,4491443,9371.842561,FALSE,Mayor al promedio
Europa,1967,69.83,4605744,10921.63626,FALSE,Mayor al promedio
Europa,1972,70.87,4639657,14358.8759,FALSE,Mayor al promedio
Europa,1977,72.52,4738902,15605.42283,FALSE,Mayor al promedio
Europa,1982,74.55,4826933,18533.15761,FALSE,Mayor al promedio
Europa,1987,74.83,4931729,21141.01223,FALSE,Mayor al promedio
Europa,1992,75.7,5041039,20647.16499,FALSE,Mayor al promedio
Europa,1997,77.13,5134406,23723.9502,FALSE,Mayor al promedio
Europa,2002,78.37,5193039,28204.59057,FALSE,Mayor al promedio
Europa,2007,79.313,5238460,33207.0844,FALSE,Mayor al promedio
