continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,37.003,420702,4293.476475,TRUE,Menor al promedio
África,1957,38.999,434904,4976.198099,TRUE,Menor al promedio
África,1962,40.489,455661,6631.459222,TRUE,Menor al promedio
África,1967,44.598,489004,8358.761987,TRUE,Menor al promedio
África,1972,48.69,537977,11401.94841,TRUE,Menor al promedio
África,1977,52.79,706367,21745.57328,TRUE,Menor al promedio
África,1982,56.564,753874,15113.36194,TRUE,Menor al promedio
África,1987,60.19,880397,11864.40844,FALSE,Mayor al promedio
África,1992,61.366,985739,13522.15752,FALSE,Mayor al promedio
África,1997,60.461,1126189,14722.84188,FALSE,Mayor al promedio
África,2002,56.761,1299304,12521.71392,TRUE,Menor al promedio
África,2007,56.735,1454867,13206.48452,TRUE,Menor al promedio
