continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Américas,1952,42.023,3146381,2428.237769,TRUE,Menor al promedio
Américas,1957,44.142,3640876,2617.155967,TRUE,Menor al promedio
Américas,1962,46.954,4208858,2750.364446,TRUE,Menor al promedio
Américas,1967,50.016,4690773,3242.531147,TRUE,Menor al promedio
Américas,1972,53.738,5149581,4031.408271,TRUE,Menor al promedio
Américas,1977,56.029,5703430,4879.992748,TRUE,Menor al promedio
Américas,1982,58.137,6395630,4820.49479,TRUE,Menor al promedio
Américas,1987,60.782,7326406,4246.485974,FALSE,Mayor al promedio
Américas,1992,63.373,8486949,4439.45084,FALSE,Mayor al promedio
Américas,1997,66.322,9803875,4684.313807,FALSE,Mayor al promedio
Américas,2002,68.978,11178650,4858.347495,FALSE,Mayor al promedio
Américas,2007,70.259,12572928,5186.050003,FALSE,Mayor al promedio
