continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,33.609,2664249,510.1964923,TRUE,Menor al promedio
África,1957,34.558,2876726,576.2670245,TRUE,Menor al promedio
África,1962,35.753,3140003,686.3736739,TRUE,Menor al promedio
África,1967,37.197,3451418,708.7595409,TRUE,Menor al promedio
África,1972,38.842,3811387,741.6662307,TRUE,Menor al promedio
África,1977,40.762,4227026,874.6858643,TRUE,Menor al promedio
África,1982,42.891,4710497,857.2503577,TRUE,Menor al promedio
África,1987,45.552,5650262,805.5724718,TRUE,Menor al promedio
África,1992,48.576,6990574,794.3484384,TRUE,Menor al promedio
África,1997,51.455,8048834,869.4497668,TRUE,Menor al promedio
África,2002,53.676,8807818,945.5835837,TRUE,Menor al promedio
África,2007,56.007,9947814,942.6542111,TRUE,Menor al promedio
