continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,60.96,2125900,3054.421209,FALSE,Mayor al promedio
Asia,1957,64.75,2736300,3629.076457,FALSE,Mayor al promedio
Asia,1962,67.65,3305200,4692.648272,FALSE,Mayor al promedio
Asia,1967,70,3722800,6197.962814,FALSE,Mayor al promedio
Asia,1972,72,4115700,8315.928145,FALSE,Mayor al promedio
Asia,1977,73.6,4583700,11186.14125,FALSE,Mayor al promedio
Asia,1982,75.45,5264500,14560.53051,FALSE,Mayor al promedio
Asia,1987,76.2,5584510,20038.47269,FALSE,Mayor al promedio
Asia,1992,77.601,5829696,24757.60301,FALSE,Mayor al promedio
Asia,1997,80,6495918,28377.63219,FALSE,Mayor al promedio
Asia,2002,81.495,6762476,30209.01516,FALSE,Mayor al promedio
Asia,2007,82.208,6980412,39724.97867,FALSE,Mayor al promedio
