continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,37.468,82052000,749.6816546,TRUE,Menor al promedio
Asia,1957,39.918,90124000,858.9002707,TRUE,Menor al promedio
Asia,1962,42.518,99028000,849.2897701,TRUE,Menor al promedio
Asia,1967,45.964,109343000,762.4317721,TRUE,Menor al promedio
Asia,1972,49.203,121282000,1111.107907,TRUE,Menor al promedio
Asia,1977,52.702,136725000,1382.702056,TRUE,Menor al promedio
Asia,1982,56.159,153343000,1516.872988,TRUE,Menor al promedio
Asia,1987,60.137,169276000,1748.356961,FALSE,Mayor al promedio
Asia,1992,62.681,184816000,2383.140898,FALSE,Mayor al promedio
Asia,1997,66.041,199278000,3119.335603,FALSE,Mayor al promedio
Asia,2002,68.588,211060000,2873.91287,FALSE,Mayor al promedio
Asia,2007,70.65,223547000,3540.651564,FALSE,Mayor al promedio
