continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,44.869,17272000,3035.326002,TRUE,Menor al promedio
Asia,1957,47.181,19792000,3290.257643,TRUE,Menor al promedio
Asia,1962,49.325,22874000,4187.329802,TRUE,Menor al promedio
Asia,1967,52.469,26538000,5906.731805,TRUE,Menor al promedio
Asia,1972,55.234,30614000,9613.818607,TRUE,Menor al promedio
Asia,1977,57.702,35480679,11888.59508,TRUE,Menor al promedio
Asia,1982,59.62,43072751,7608.334602,FALSE,Mayor al promedio
Asia,1987,63.04,51889696,6642.881371,FALSE,Mayor al promedio
Asia,1992,65.742,60397973,7235.653188,FALSE,Mayor al promedio
Asia,1997,68.042,63327987,8263.590301,FALSE,Mayor al promedio
Asia,2002,69.451,66907826,9240.761975,FALSE,Mayor al promedio
Asia,2007,70.964,69453570,11605.71449,FALSE,Mayor al promedio
