continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Europa,1952,72.49,147962,7267.688428,FALSE,Mayor al promedio
Europa,1957,73.47,165110,9244.001412,FALSE,Mayor al promedio
Europa,1962,73.68,182053,10350.15906,FALSE,Mayor al promedio
Europa,1967,73.73,198676,13319.89568,FALSE,Mayor al promedio
Europa,1972,74.46,209275,15798.06362,FALSE,Mayor al promedio
Europa,1977,76.11,221823,19654.96247,FALSE,Mayor al promedio
Europa,1982,76.99,233997,23269.6075,FALSE,Mayor al promedio
Europa,1987,77.23,244676,26923.20628,FALSE,Mayor al promedio
Europa,1992,78.77,259012,25144.39201,FALSE,Mayor al promedio
Europa,1997,78.95,271192,28061.09966,FALSE,Mayor al promedio
Europa,2002,80.5,288030,31163.20196,FALSE,Mayor al promedio
Europa,2007,81.757,301931,36180.78919,FALSE,Mayor al promedio
