continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,55.565,160000,108382.3529,TRUE,Menor al promedio
Asia,1957,58.033,212846,113523.1329,TRUE,Menor al promedio
Asia,1962,60.47,358266,95458.11176,FALSE,Mayor al promedio
Asia,1967,64.624,575003,80894.88326,FALSE,Mayor al promedio
Asia,1972,67.712,841934,109347.867,FALSE,Mayor al promedio
Asia,1977,69.343,1140357,59265.47714,FALSE,Mayor al promedio
Asia,1982,71.309,1497494,31354.03573,FALSE,Mayor al promedio
Asia,1987,74.174,1891487,28118.42998,FALSE,Mayor al promedio
Asia,1992,75.19,1418095,34932.91959,FALSE,Mayor al promedio
Asia,1997,76.156,1765345,40300.619960000004,FALSE,Mayor al promedio
Asia,2002,76.904,2111561,35110.10566,FALSE,Mayor al promedio
Asia,2007,77.588,2505559,47306.98978,FALSE,Mayor al promedio
