continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,38.48,863308,575.5729961,TRUE,Menor al promedio
África,1957,39.486,975950,620.9699901,TRUE,Menor al promedio
África,1962,40.502,1112796,634.1951625,TRUE,Menor al promedio
África,1967,41.536,1279406,713.6036483,TRUE,Menor al promedio
África,1972,42.614,1482628,803.0054535,TRUE,Menor al promedio
África,1977,43.764,1703617,640.3224383,TRUE,Menor al promedio
África,1982,44.852,1956875,572.1995694,TRUE,Menor al promedio
África,1987,46.027,2269414,506.1138573,TRUE,Menor al promedio
África,1992,40.802,1912974,636.6229191,TRUE,Menor al promedio
África,1997,42.221,2200725,609.17395079999994,TRUE,Menor al promedio
África,2002,43.753,2814651,531.4823679,TRUE,Menor al promedio
África,2007,45.678,3193942,414.5073415,TRUE,Menor al promedio
