continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,55.928,1439529,4834.804067,TRUE,Menor al promedio
Asia,1957,59.489,1647412,6089.786934,FALSE,Mayor al promedio
Asia,1962,62.094,1886848,5714.560611,FALSE,Mayor al promedio
Asia,1967,63.87,2186894,6006.983042,FALSE,Mayor al promedio
Asia,1972,65.421,2680018,7486.384341,FALSE,Mayor al promedio
Asia,1977,66.099,3115787,8659.696836,FALSE,Mayor al promedio
Asia,1982,66.983,3086876,7640.519521,FALSE,Mayor al promedio
Asia,1987,67.926,3089353,5377.091329,FALSE,Mayor al promedio
Asia,1992,69.292,3219994,6890.806854,FALSE,Mayor al promedio
Asia,1997,70.265,3430388,8754.96385,FALSE,Mayor al promedio
Asia,2002,71.028,3677780,9313.93883,FALSE,Mayor al promedio
Asia,2007,71.993,3921278,10461.05868,FALSE,Mayor al promedio
