continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,36.681,4762912,1443.011715,TRUE,Menor al promedio
África,1957,38.865,5181679,1589.20275,TRUE,Menor al promedio
África,1962,40.848,5703324,1643.38711,TRUE,Menor al promedio
África,1967,42.881,6334556,1634.047282,TRUE,Menor al promedio
África,1972,44.851,7082430,1748.562982,TRUE,Menor al promedio
África,1977,46.881,8007166,1544.228586,TRUE,Menor al promedio
África,1982,48.969,9171477,1302.878658,TRUE,Menor al promedio
África,1987,49.35,10568642,1155.441948,TRUE,Menor al promedio
África,1992,52.214,12210395,1040.67619,TRUE,Menor al promedio
África,1997,54.978,14165114,986.2958956,TRUE,Menor al promedio
África,2002,57.286,16473477,894.6370822,TRUE,Menor al promedio
África,2007,59.443,19167654,1044.770126,TRUE,Menor al promedio
