continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,40.543,1022556,743.1159097,TRUE,Menor al promedio
África,1957,42.338,1076852,846.1202613,TRUE,Menor al promedio
África,1962,44.248,1146757,1055.896036,TRUE,Menor al promedio
África,1967,46.289,1230542,1421.145193,TRUE,Menor al promedio
África,1972,48.437,1332786,1586.851781,TRUE,Menor al promedio
África,1977,50.852,1456688,1497.492223,TRUE,Menor al promedio
África,1982,53.599,1622136,1481.150189,TRUE,Menor al promedio
África,1987,56.145,1841240,1421.603576,TRUE,Menor al promedio
África,1992,58.333,2119465,1361.369784,TRUE,Menor al promedio
África,1997,60.43,2444741,1483.136136,FALSE,Mayor al promedio
África,2002,62.247,2828858,1579.019543,FALSE,Mayor al promedio
África,2007,64.164,3270065,1803.151496,FALSE,Mayor al promedio
