continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Europa,1952,59.164,413834,2647.585601,TRUE,Menor al promedio
Europa,1957,61.448,442829,3682.259903,FALSE,Mayor al promedio
Europa,1962,63.728,474528,4649.593785,FALSE,Mayor al promedio
Europa,1967,67.178,501035,5907.850937,FALSE,Mayor al promedio
Europa,1972,70.636,527678,7778.414017,FALSE,Mayor al promedio
Europa,1977,73.066,560073,9595.929905,FALSE,Mayor al promedio
Europa,1982,74.101,562548,11222.58762,FALSE,Mayor al promedio
Europa,1987,74.865,569473,11732.51017,FALSE,Mayor al promedio
Europa,1992,75.435,621621,7003.339037,FALSE,Mayor al promedio
Europa,1997,75.445,692651,6465.613349,FALSE,Mayor al promedio
Europa,2002,73.981,720230,6557.194282,FALSE,Mayor al promedio
Europa,2007,74.543,684736,9253.896111,FALSE,Mayor al promedio
