continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Américas,1952,42.314,1165790,3112.363948,TRUE,Menor al promedio
Américas,1957,45.432,1358828,3457.415947,TRUE,Menor al promedio
Américas,1962,48.632,1590597,3634.364406,TRUE,Menor al promedio
Américas,1967,51.884,1865490,4643.393534,TRUE,Menor al promedio
Américas,1972,55.151,2182908,4688.593267,TRUE,Menor al promedio
Américas,1977,57.47,2554598,5486.371089,TRUE,Menor al promedio
Américas,1982,59.298,2979423,3470.338156,TRUE,Menor al promedio
Américas,1987,62.008,3344353,2955.984375,FALSE,Mayor al promedio
Américas,1992,65.843,4017939,2170.151724,FALSE,Mayor al promedio
Américas,1997,68.426,4609572,2253.023004,FALSE,Mayor al promedio
Américas,2002,70.836,5146848,2474.548819,FALSE,Mayor al promedio
Américas,2007,72.899,5675356,2749.320965,FALSE,Mayor al promedio
