continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,36.324,33119096,1077.281856,TRUE,Menor al promedio
África,1957,37.802,37173340,1100.592563,TRUE,Menor al promedio
África,1962,39.36,41871351,1150.927478,TRUE,Menor al promedio
África,1967,41.04,47287752,1014.514104,TRUE,Menor al promedio
África,1972,42.821,53740085,1698.388838,TRUE,Menor al promedio
África,1977,44.514,62209173,1981.951806,TRUE,Menor al promedio
África,1982,45.826,73039376,1576.97375,TRUE,Menor al promedio
África,1987,46.886,81551520,1385.029563,TRUE,Menor al promedio
África,1992,47.472,93364244,1619.848217,TRUE,Menor al promedio
África,1997,47.464,106207839,1624.941275,TRUE,Menor al promedio
África,2002,46.608,119901274,1615.286395,TRUE,Menor al promedio
África,2007,46.859,135031164,2013.977305,TRUE,Menor al promedio
