continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Oceanía,1952,69.39,1994794,10556.57566,FALSE,Mayor al promedio
Oceanía,1957,70.26,2229407,12247.39532,FALSE,Mayor al promedio
Oceanía,1962,71.24,2488550,13175.678,FALSE,Mayor al promedio
Oceanía,1967,71.52,2728150,14463.91893,FALSE,Mayor al promedio
Oceanía,1972,71.89,2929100,16046.03728,FALSE,Mayor al promedio
Oceanía,1977,72.22,3164900,16233.7177,FALSE,Mayor al promedio
Oceanía,1982,73.84,3210650,17632.4104,FALSE,Mayor al promedio
Oceanía,1987,74.32,3317166,19007.19129,FALSE,Mayor al promedio
Oceanía,1992,76.33,3437674,18363.32494,FALSE,Mayor al promedio
Oceanía,1997,77.55,3676187,21050.41377,FALSE,Mayor al promedio
Oceanía,2002,79.11,3908037,23189.80135,FALSE,Mayor al promedio
Oceanía,2007,80.204,4115771,25185.00911,FALSE,Mayor al promedio
