continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Américas,1952,62.649,1555876,1952.308701,FALSE,Mayor al promedio
Américas,1957,63.196,1770902,2046.154706,FALSE,Mayor al promedio
Américas,1962,64.361,2009813,2148.027146,FALSE,Mayor al promedio
Américas,1967,64.951,2287985,2299.376311,FALSE,Mayor al promedio
Américas,1972,65.815,2614104,2523.337977,FALSE,Mayor al promedio
Américas,1977,66.353,2984494,3248.373311,FALSE,Mayor al promedio
Américas,1982,66.874,3366439,4258.503604,FALSE,Mayor al promedio
Américas,1987,67.378,3886512,3998.875695,FALSE,Mayor al promedio
Américas,1992,68.225,4483945,4196.411078,FALSE,Mayor al promedio
Américas,1997,69.4,5154123,4247.400261,FALSE,Mayor al promedio
Américas,2002,70.755,5884491,3783.674243,FALSE,Mayor al promedio
Américas,2007,71.752,6667147,4172.838464,FALSE,Mayor al promedio
