continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Europa,1952,59.82,8526050,3068.319867,FALSE,Mayor al promedio
Europa,1957,61.51,8817650,3774.571743,FALSE,Mayor al promedio
Europa,1962,64.39,9019800,4727.954889,FALSE,Mayor al promedio
Europa,1967,66.6,9103000,6361.517993,FALSE,Mayor al promedio
Europa,1972,69.26,8970450,9022.247417,FALSE,Mayor al promedio
Europa,1977,70.41,9662600,10172.48572,FALSE,Mayor al promedio
Europa,1982,72.77,9859650,11753.84291,FALSE,Mayor al promedio
Europa,1987,74.06,9915289,13039.30876,FALSE,Mayor al promedio
Europa,1992,74.86,9927680,16207.26663,FALSE,Mayor al promedio
Europa,1997,75.97,10156415,17641.03156,FALSE,Mayor al promedio
Europa,2002,77.29,10433867,19970.90787,FALSE,Mayor al promedio
Europa,2007,78.098,10642836,20509.64777,FALSE,Mayor al promedio
