continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Américas,1952,64.28,2227000,3081.959785,FALSE,Mayor al promedio
Américas,1957,68.54,2260000,3907.156189,FALSE,Mayor al promedio
Américas,1962,69.62,2448046,5108.34463,FALSE,Mayor al promedio
Américas,1967,71.1,2648961,6929.277714,FALSE,Mayor al promedio
Américas,1972,72.16,2847132,9123.041742,FALSE,Mayor al promedio
Américas,1977,73.44,3080828,9770.524921,FALSE,Mayor al promedio
Américas,1982,73.75,3279001,10330.98915,FALSE,Mayor al promedio
Américas,1987,74.63,3444468,12281.34191,FALSE,Mayor al promedio
Américas,1992,73.911,3585176,14641.58711,FALSE,Mayor al promedio
Américas,1997,74.917,3759430,16999.4333,FALSE,Mayor al promedio
Américas,2002,77.778,3859606,18855.60618,FALSE,Mayor al promedio
Américas,2007,78.746,3942491,19328.70901,FALSE,Mayor al promedio
