continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Europa,1952,66.87,9125183,6876.14025,FALSE,Mayor al promedio
Europa,1957,69.03,9513758,8256.343918,FALSE,Mayor al promedio
Europa,1962,69.9,9620282,10136.86713,FALSE,Mayor al promedio
Europa,1967,70.38,9835109,11399.44489,FALSE,Mayor al promedio
Europa,1972,70.29,9862158,13108.4536,FALSE,Mayor al promedio
Europa,1977,70.71,10161915,14800.16062,FALSE,Mayor al promedio
Europa,1982,70.96,10303704,15377.22855,FALSE,Mayor al promedio
Europa,1987,71.58,10311597,16310.4434,FALSE,Mayor al promedio
Europa,1992,72.4,10315702,14297.02122,FALSE,Mayor al promedio
Europa,1997,74.01,10300707,16048.51424,FALSE,Mayor al promedio
Europa,2002,75.51,10256295,17596.21022,FALSE,Mayor al promedio
Europa,2007,76.486,10228744,22833.30851,FALSE,Mayor al promedio
