continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,39.143,14100005,780.5423257,TRUE,Menor al promedio
África,1957,40.652,15577932,905.8602303,TRUE,Menor al promedio
África,1962,42.122,17486434,896.3146335,TRUE,Menor al promedio
África,1967,44.056,19941073,861.5932424,TRUE,Menor al promedio
África,1972,45.989,23007669,904.8960685,TRUE,Menor al promedio
África,1977,47.804,26480870,795.757282,TRUE,Menor al promedio
África,1982,47.784,30646495,673.7478181,TRUE,Menor al promedio
África,1987,47.412,35481645,672.774812,TRUE,Menor al promedio
África,1992,45.548,41672143,457.7191807,TRUE,Menor al promedio
África,1997,42.587,47798986,312.188423,TRUE,Menor al promedio
África,2002,44.966,55379852,241.1658765,TRUE,Menor al promedio
África,2007,46.462,64606759,277.5518587,TRUE,Menor al promedio
