continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,52.724,257700,2718.885295,TRUE,Menor al promedio
África,1957,55.09,308700,2769.451844,TRUE,Menor al promedio
África,1962,57.666,358900,3173.72334,TRUE,Menor al promedio
África,1967,60.542,414024,4021.175739,FALSE,Mayor al promedio
África,1972,64.274,461633,5047.658563,FALSE,Mayor al promedio
África,1977,67.064,492095,4319.804067,FALSE,Mayor al promedio
África,1982,69.885,517810,5267.219353,FALSE,Mayor al promedio
África,1987,71.913,562035,5303.377488,FALSE,Mayor al promedio
África,1992,73.615,622191,6101.255823,FALSE,Mayor al promedio
África,1997,74.772,684810,6071.941411,FALSE,Mayor al promedio
África,2002,75.744,743981,6316.1652,FALSE,Mayor al promedio
África,2007,76.442,798094,7670.122558,FALSE,Mayor al promedio
