continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Europa,1952,61.05,16630000,3144.613186,FALSE,Mayor al promedio
Europa,1957,64.1,17829327,3943.370225,FALSE,Mayor al promedio
Europa,1962,66.8,18680721,4734.997586,FALSE,Mayor al promedio
Europa,1967,66.8,19284814,6470.866545,FALSE,Mayor al promedio
Europa,1972,69.21,20662648,8011.414402,FALSE,Mayor al promedio
Europa,1977,69.46,21658597,9356.39724,FALSE,Mayor al promedio
Europa,1982,69.66,22356726,9605.314053,FALSE,Mayor al promedio
Europa,1987,69.53,22686371,9696.273295,FALSE,Mayor al promedio
Europa,1992,69.36,22797027,6598.409903,FALSE,Mayor al promedio
Europa,1997,69.72,22562458,7346.547557,FALSE,Mayor al promedio
Europa,2002,71.322,22404337,7885.360081,FALSE,Mayor al promedio
Europa,2007,72.476,22276056,10808.47561,FALSE,Mayor al promedio
