continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,45.883,3661549,1643.485354,TRUE,Menor al promedio
Asia,1957,48.284,4149908,2117.234893,TRUE,Menor al promedio
Asia,1962,50.305,4834621,2193.037133,TRUE,Menor al promedio
Asia,1967,53.655,5680812,1881.923632,TRUE,Menor al promedio
Asia,1972,57.296,6701172,2571.423014,TRUE,Menor al promedio
Asia,1977,61.195,7932503,3195.484582,FALSE,Mayor al promedio
Asia,1982,64.59,9410494,3761.837715,FALSE,Mayor al promedio
Asia,1987,66.974,11242847,3116.774285,FALSE,Mayor al promedio
Asia,1992,69.249,13219062,3340.542768,FALSE,Mayor al promedio
Asia,1997,71.527,15081016,4014.238972,FALSE,Mayor al promedio
Asia,2002,73.053,17155814,4090.925331,FALSE,Mayor al promedio
Asia,2007,74.143,19314747,4184.548089,FALSE,Mayor al promedio
