continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,38.635,8504667,1615.991129,TRUE,Menor al promedio
África,1957,39.624,9753392,1770.337074,TRUE,Menor al promedio
África,1962,40.87,11183227,1959.593767,TRUE,Menor al promedio
África,1967,42.858,12716129,1687.997641,TRUE,Menor al promedio
África,1972,45.083,14597019,1659.652775,TRUE,Menor al promedio
África,1977,47.8,17104986,2202.988423,TRUE,Menor al promedio
África,1982,50.338,20367053,1895.544073,TRUE,Menor al promedio
África,1987,51.744,24725960,1507.819159,TRUE,Menor al promedio
África,1992,53.556,28227588,1492.197043,TRUE,Menor al promedio
África,1997,55.373,32160729,1632.210764,TRUE,Menor al promedio
África,2002,56.369,37090298,1993.398314,TRUE,Menor al promedio
África,2007,58.556,42292929,2602.394995,TRUE,Menor al promedio
