continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,50.848,21289402,757.7974177,TRUE,Menor al promedio
Asia,1957,53.63,25041917,793.5774148,TRUE,Menor al promedio
Asia,1962,56.061,29263397,1002.199172,TRUE,Menor al promedio
Asia,1967,58.285,34024249,1295.46066,TRUE,Menor al promedio
Asia,1972,60.405,39276153,1524.358936,FALSE,Mayor al promedio
Asia,1977,62.494,44148285,1961.224635,FALSE,Mayor al promedio
Asia,1982,64.597,48827160,2393.219781,FALSE,Mayor al promedio
Asia,1987,66.084,52910342,2982.653773,FALSE,Mayor al promedio
Asia,1992,67.298,56667095,4616.896545,FALSE,Mayor al promedio
Asia,1997,67.521,60216677,5852.625497,FALSE,Mayor al promedio
Asia,2002,68.564,62806748,5913.187529,FALSE,Mayor al promedio
Asia,2007,70.616,65068149,7458.396327,FALSE,Mayor al promedio
