continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,58.5,8550362,1206.947913,TRUE,Menor al promedio
Asia,1957,62.4,10164215,1507.86129,FALSE,Mayor al promedio
Asia,1962,65.2,11918938,1822.879028,FALSE,Mayor al promedio
Asia,1967,67.5,13648692,2643.858681,FALSE,Mayor al promedio
Asia,1972,69.39,15226039,4062.523897,FALSE,Mayor al promedio
Asia,1977,70.59,16785196,5596.519826,FALSE,Mayor al promedio
Asia,1982,72.16,18501390,7426.354774,FALSE,Mayor al promedio
Asia,1987,73.4,19757799,11054.56175,FALSE,Mayor al promedio
Asia,1992,74.26,20686918,15215.6579,FALSE,Mayor al promedio
Asia,1997,75.25,21628605,20206.82098,FALSE,Mayor al promedio
Asia,2002,76.99,22454239,23235.42329,FALSE,Mayor al promedio
Asia,2007,78.4,23174294,28718.27684,FALSE,Mayor al promedio
