continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,41.215,8322925,716.6500721,TRUE,Menor al promedio
África,1957,42.974,9452826,698.5356073,TRUE,Menor al promedio
África,1962,44.246,10863958,722.0038073,TRUE,Menor al promedio
África,1967,45.757,12607312,848.2186575,TRUE,Menor al promedio
África,1972,47.62,14706593,915.9850592,TRUE,Menor al promedio
África,1977,49.919,17129565,962.4922932,TRUE,Menor al promedio
África,1982,50.608,19844382,874.2426069,TRUE,Menor al promedio
África,1987,51.535,23040630,831.8220794,TRUE,Menor al promedio
África,1992,50.44,26605473,825.682454,TRUE,Menor al promedio
África,1997,48.466,30686889,789.1862231,TRUE,Menor al promedio
África,2002,49.651,34593779,899.0742111,TRUE,Menor al promedio
África,2007,52.517,38139640,1107.482182,TRUE,Menor al promedio
