continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,43.16,1030585,1515.592329,TRUE,Menor al promedio
Asia,1957,45.671,1070439,1827.067742,TRUE,Menor al promedio
Asia,1962,48.127,1133134,2198.956312,TRUE,Menor al promedio
Asia,1967,51.631,1142636,2649.715007,TRUE,Menor al promedio
Asia,1972,56.532,1089572,3133.409277,TRUE,Menor al promedio
Asia,1977,60.765,1261091,3682.831494,FALSE,Mayor al promedio
Asia,1982,64.406,1425876,4336.032082,FALSE,Mayor al promedio
Asia,1987,67.046,1691210,5107.197384,FALSE,Mayor al promedio
Asia,1992,69.718,2104779,6017.654756,FALSE,Mayor al promedio
Asia,1997,71.096,2826046,7110.667619,FALSE,Mayor al promedio
Asia,2002,72.37,3389578,4515.487575,FALSE,Mayor al promedio
Asia,2007,73.422,4018332,3025.349798,FALSE,Mayor al promedio
