continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,38.596,1219113,859.8086567,TRUE,Menor al promedio
África,1957,41.208,1357445,925.9083202,TRUE,Menor al promedio
África,1962,43.922,1528098,1067.53481,TRUE,Menor al promedio
África,1967,46.769,1735550,1477.59676,TRUE,Menor al promedio
África,1972,49.759,2056351,1649.660188,TRUE,Menor al promedio
África,1977,52.887,2308582,1532.776998,TRUE,Menor al promedio
África,1982,55.471,2644765,1344.577953,TRUE,Menor al promedio
África,1987,56.941,3154264,1202.201361,TRUE,Menor al promedio
África,1992,58.061,3747553,1034.298904,TRUE,Menor al promedio
África,1997,58.39,4320890,982.2869243,TRUE,Menor al promedio
África,2002,57.561,4977378,886.2205765,TRUE,Menor al promedio
África,2007,58.42,5701579,882.9699438,TRUE,Menor al promedio
