continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
África,1952,39.978,5824797,734.753484,TRUE,Menor al promedio
África,1957,42.571,6675501,774.3710692,TRUE,Menor al promedio
África,1962,45.344,7688797,767.2717398,TRUE,Menor al promedio
África,1967,48.051,8900294,908.9185217,TRUE,Menor al promedio
África,1972,51.016,10190285,950.735869,TRUE,Menor al promedio
África,1977,50.35,11457758,843.7331372,TRUE,Menor al promedio
África,1982,49.849,12939400,682.2662268,TRUE,Menor al promedio
África,1987,51.509,15283050,617.7244065,TRUE,Menor al promedio
África,1992,48.825,18252190,644.1707969,TRUE,Menor al promedio
África,1997,44.578,21210254,816.559081,TRUE,Menor al promedio
África,2002,47.813,24739869,927.7210018,TRUE,Menor al promedio
África,2007,51.542,29170398,1056.380121,TRUE,Menor al promedio
