continente,anio,esperanza_de_vida,poblacion,pib_per_capita,esperanza_baja,resultado
Asia,1952,40.412,26246839,605.0664917,TRUE,Menor al promedio
Asia,1957,42.887,28998543,676.2854478,TRUE,Menor al promedio
Asia,1962,45.363,33796140,772.0491602,TRUE,Menor al promedio
Asia,1967,47.838,39463910,637.1232887,TRUE,Menor al promedio
Asia,1972,50.254,44655014,699.5016441,TRUE,Menor al promedio
Asia,1977,55.764,50533506,713.5371196,TRUE,Menor al promedio
Asia,1982,58.816,56142181,707.2357863,TRUE,Menor al promedio
Asia,1987,62.82,62826491,820.7994449,FALSE,Mayor al promedio
Asia,1992,67.662,69940728,989.0231487,FALSE,Mayor al promedio
Asia,1997,70.672,76048996,1385.896769,FALSE,Mayor al promedio
Asia,2002,73.017,80908147,1764.456677,FALSE,Mayor al promedio
Asia,2007,74.249,85262356,2441.576404,FALSE,Mayor al promedio
